"WALLET_HISTORY_SEQ","WALLET_ID","USER_ID","GUBUN","SORT","COIN_ID","AMOUNT","BALANCE","REASON","REASON_DETAIL","REG_DATE","REG_USER","UP_DATE","UP_USER","USE_FLAG"
"30177","WL2020081400024","rkj2318","I","6","HSS","30","2040","마이닝청산","마이닝청산","2020-12-03 09:23:11","rkj2318","2020-12-07 09:56:34","rkj2318","N"
"30176","WL2020071400208","ch54i7379","I","6","HSS","426.66666656","3138.60232268","마이닝청산","마이닝청산","2020-12-03 09:22:50","ch54i7379","2020-12-06 10:34:38","ch54i7379","N"
"30175","WL2020081000008","wh0dnjs","I","6","HSS","93.33333326","3015.36432594","마이닝청산","마이닝청산","2020-12-03 09:21:27","wh0dnjs",\n,\n,"Y"
"30174","WL2020082500008","applle54","O","1","HSS","50070","335481.97016191","출금","출금신청","2020-12-03 09:06:27","applle54","2020-12-04 13:34:03","applle54","N"
"30173","WL2020082500006","applle53","O","1","HSS","50070","339562.43212448","출금","출금신청","2020-12-03 09:06:03","applle53","2020-12-04 13:34:03","applle53","N"
"30172","WL2020082500004","applle52","O","1","HSS","50070","339516.59129334","출금","출금신청","2020-12-03 09:05:39","applle52","2020-12-04 13:34:03","applle52","N"
"30171","WL2020082500002","applle51","O","1","HSS","50070","339383.38987627","출금","출금신청","2020-12-03 09:05:14","applle51","2020-12-04 13:34:03","applle51","N"
"30170","WL2020082600006","applle43","O","1","HSS","50070","329636.53196511","출금","출금신청","2020-12-03 09:04:15","applle43","2020-12-04 13:34:03","applle43","N"
"30169","WL2020082600004","applle42","O","1","HSS","50070","336222.56187162","출금","출금신청","2020-12-03 09:03:51","applle42","2020-12-04 13:34:03","applle42","N"
"30168","WL2020081600004","applle39","O","1","HSS","50070","336781.70018417","출금","출금신청","2020-12-03 09:03:00","applle39","2020-12-06 14:36:28","applle39","N"
"30167","WL2020081600006","applle40","O","1","HSS","12570","351629.45055066","출금","출금신청","2020-12-03 09:02:15","applle40","2020-12-06 14:38:42","applle40","N"
"30166","WL2020081600006","applle40","O","1","HSS","37570","364199.45055066","출금","출금신청","2020-12-03 09:01:52","applle40","2020-12-03 09:02:15","applle40","N"
"30165","WL2020081500034","applle38","O","1","HSS","50070","319302.46677911","출금","출금신청","2020-12-03 09:01:10","applle38","2020-12-06 14:35:48","applle38","N"
"30164","WL2020081500032","applle37","O","1","HSS","50070","312717.73969814","출금","출금신청","2020-12-03 09:00:29","applle37","2020-12-06 14:35:02","applle37","N"
"30163","WL2020081400012","applle36","O","1","HSS","50070","311078.97502015","출금","출금신청","2020-12-03 09:00:03","applle36","2020-12-06 14:34:36","applle36","N"
"30162","WL2020081400006","applle35","O","1","HSS","50070","309745.58258058","출금","출금신청","2020-12-03 08:59:33","applle35","2020-12-06 14:34:13","applle35","N"
"30161","WL2020081300032","applle34","O","1","HSS","50070","319777.51610379","출금","출금신청","2020-12-03 08:58:53","applle34","2020-12-06 14:33:35","applle34","N"
"30160","WL2020081300018","applle33","O","1","HSS","50070","304583.21585075","출금","출금신청","2020-12-03 08:58:14","applle33","2020-12-06 14:32:21","applle33","N"
"30159","WL2020081300014","applle32","O","1","HSS","50070","304890.36281045","출금","출금신청","2020-12-03 08:57:20","applle32","2020-12-06 14:31:30","applle32","N"
"30158","WL2020081300012","applle31","O","1","HSS","50070","304979.84794139","출금","출금신청","2020-12-03 08:56:28","applle31","2020-12-06 14:31:06","applle31","N"
"30157","WL2020081100010","applle3","O","1","HSS","50070","283696.71301918","출금","출금신청","2020-12-03 08:55:37","applle3","2020-12-04 18:25:13","applle3","N"
"30156","WL2020081100008","applle2","O","1","HSS","50070","284844.58436406","출금","출금신청","2020-12-03 08:55:06","applle2","2020-12-06 14:29:58","applle2","N"
"30155","WL2020081100006","applle1","O","1","HSS","50070","284938.12809135","출금","출금신청","2020-12-03 08:54:40","applle1","2020-12-06 14:29:33","applle1","N"
"30154","WL2020081000020","applle","O","1","HSS","50070","284057.50517247","출금","출금신청","2020-12-03 08:54:11","applle","2020-12-06 14:29:08","applle","N"
"30153","WL2020081000022","teetime","O","1","HSS","50070","255328.49390616","출금","출금신청","2020-12-03 08:53:42","teetime","2020-12-06 14:28:39","teetime","N"
"30152","WL2020081100002","rumy3275","O","1","HSS","50070","265812.12557221","출금","출금신청","2020-12-03 08:53:14","rumy3275","2020-12-06 14:28:12","rumy3275","N"
"30151","WL2020081100004","henny","O","1","HSS","50070","264689.56052975","출금","출금신청","2020-12-03 08:52:47","henny","2020-12-06 14:27:45","henny","N"
"30150","WL2020081000018","goyoja","O","1","HSS","50070","265303.03494863","출금","출금신청","2020-12-03 08:49:55","goyoja","2020-12-06 14:27:15","goyoja","N"
"30149","WL2020081000016","rudrud","O","1","HSS","50070","262524.39420624","출금","출금신청","2020-12-03 08:49:26","rudrud","2020-12-06 14:26:50","rudrud","N"
"30148","WL2020081000014","hssah","O","1","HSS","50070","95339.07557254","출금","출금신청","2020-12-03 08:48:51","hssah","2020-12-06 14:26:18","hssah","N"
"30147","WL2020112000004","freedom","I","1","HSS","12952.06055509","142608.5855329","송금","크립토출금요청","2020-12-03 08:23:11","freedom","2020-12-04 02:15:32","freedom","N"
"30146","WL2020112100004","ant0825","I","1","HSS","25284.45006321","90255.60040627","송금","크립토출금요청","2020-12-03 08:22:22","ant0825","2020-12-04 02:16:26","ant0825","N"
"30145","WL2020083100016","collaboration0831","O","1","HSS","50070","228683.6374163","출금","출금신청","2020-12-03 08:07:39","collaboration0831","2020-12-03 14:46:16","collaboration0831","N"
"30144","WL2020071300663","happy111","O","1","HSS","50070","4481.44678186","출금","출금신청","2020-12-03 08:07:09","happy111",\n,\n,"Y"
"30143","WL2020112000002","lsj0027","I","1","HSS","12116.11274716","12119.8448244","송금","크립토출금요청","2020-12-03 08:06:57","lsj0027","2020-12-03 20:36:31","lsj0027","N"
"30142","WL2020081500008","lsw001","I","6","HSS","86.66666662","13284.76481319","마이닝청산","마이닝청산","2020-12-03 08:06:17","lsw001","2020-12-04 03:05:00","ADMIN","N"
"30141","WL2020112300002","lje8552","I","1","HSS","10113.78002528","10123.19236331","송금","크립토출금요청","2020-12-03 08:06:12","lje8552","2020-12-03 20:35:06","lje8552","N"
"30140","WL2020081500022","Collaboration0816","O","1","HSS","50070","252421.56393184","출금","출금신청","2020-12-03 08:06:06","Collaboration0816","2020-12-04 02:10:42","Collaboration0816","N"
"30139","WL2020081400022","lys001","I","6","HSS","98.33333328","21989.31573264","마이닝청산","마이닝청산","2020-12-03 08:05:52","lys001","2020-12-04 19:58:54","lys001","N"
"30138","WL2020071300649","goodhs1","O","1","HSS","50070","4392.16235309","출금","출금신청","2020-12-03 08:05:09","goodhs1",\n,\n,"Y"
"30137","WL2020080200004","sho1966","O","1","HSS","13286","0.66666636","출금","출금신청","2020-12-03 07:40:58","sho1966",\n,\n,"Y"
"30136","WL2020080200004","sho1966","I","6","HSS","40","13286.66666637","마이닝청산","마이닝청산","2020-12-03 07:38:47","sho1966","2020-12-03 07:40:58","sho1966","N"
"30135","WL2020112600006","vishops1","I","1","HSS","10075.56675063","63953.30971291","송금","크립토출금요청","2020-12-03 07:25:12","vishops1","2020-12-03 15:27:33","vishops1","N"
